source,destination,length,path
0,1,1,0,1,38422
7,0,3,7,3,4,0,76.9672
7,0,3,7,3,6,0,307.869
7,0,3,7,2,9,0,384.836
7,6,1,7,6,14353.5
7,6,2,7,2,6,3107.46
7,6,2,7,8,6,3625.37
7,6,2,7,3,6,3033.47
0,4,1,0,4,15741.6
0,4,2,0,8,4,5498.87
0,4,2,0,9,4,9813.71
0,4,2,0,7,4,5788.1
0,4,2,0,6,4,9283.24
0,4,2,0,2,4,9548.48
0,4,2,0,3,4,7691.83
0,4,2,0,5,4,6365.65
0,4,3,0,5,7,4,265.236
0,4,3,0,5,8,4,265.236
0,4,2,0,1,4,0
0,4,3,0,5,9,4,265.236
0,4,3,0,5,3,4,265.236
7,9,1,7,9,15120.9
7,9,2,7,2,9,2121.03
7,9,2,7,5,9,889.466
7,9,2,7,3,9,1026.31
7,9,2,7,8,9,3147.34
5,4,1,5,4,11154.8
5,4,2,5,8,4,3513.76
5,4,2,5,7,4,1227.03
5,4,2,5,3,4,892.385
5,4,2,5,2,4,1059.71
5,4,2,5,9,4,334.644
5,6,1,5,6,11828.6
5,6,2,5,9,6,1328.58
5,6,2,5,2,6,685.718
5,6,2,5,8,6,128.572
4,1,1,4,1,8261.48
4,1,2,4,9,1,479.461
4,1,2,4,5,1,258.171
4,1,2,4,2,1,553.224
4,1,2,4,6,1,516.342
4,1,2,4,3,1,36.8816
4,1,2,4,8,1,258.171
4,1,2,4,7,1,1622.79
4,1,3,4,8,2,1,36.8816
1,2,1,1,2,9910.55
1,2,2,1,8,2,1356.18
1,2,2,1,9,2,69.5477
1,4,1,1,4,10872.4
1,4,2,1,7,4,33.4536
1,3,1,1,3,9754.03
1,3,2,1,8,3,185.203
1,3,2,1,7,3,123.469
3,1,1,3,1,8514.99
3,1,2,3,2,1,349.931
3,1,2,3,9,1,495.736
3,1,2,3,7,1,116.644
3,1,2,3,8,1,29.1609
5,1,1,5,1,9206.31
5,1,2,5,7,1,28.3271
6,1,1,6,1,8485.27
6,1,2,6,3,1,134.687
6,1,2,6,9,1,161.624
0,3,1,0,3,13031.8
0,3,2,0,8,3,0
0,3,2,0,9,3,8698.28
0,3,2,0,7,3,0
0,3,2,0,5,3,7553.77
0,3,2,0,6,3,921.169
0,3,2,0,2,3,7324.87
0,3,2,0,4,3,0
0,3,2,0,1,3,0
0,3,3,0,5,7,3,228.902
1,6,1,1,6,8169.97
6,7,1,6,7,7558.91
6,7,2,6,2,7,322.183
6,7,2,6,8,7,198.267
9,8,1,9,8,6731.8
9,8,2,9,6,8,72.1264
9,8,2,9,2,8,961.685
9,8,2,9,3,8,72.1264
1,9,1,1,9,7550.8
4,2,1,4,2,6675.7
4,2,2,4,8,2,499.542
4,2,2,4,9,2,181.652
4,2,2,4,6,2,45.4129
1,5,1,1,5,6984.76
1,5,2,1,7,5,153.271
4,5,1,4,5,7052.45
8,1,1,8,1,5432.13
8,1,2,8,3,1,43.1122
8,1,2,8,2,1,905.355
8,1,2,8,9,1,194.005
8,1,2,8,7,1,323.341
8,1,2,8,6,1,107.78
8,1,2,8,5,1,21.5561
1,8,1,1,8,6604.44
2,1,1,2,1,5621.99
2,1,2,2,9,1,552.336
2,1,2,2,6,1,78.9051
2,1,2,2,7,1,177.537
4,0,1,4,0,26913.4
4,0,2,4,7,0,6450.31
4,0,2,4,8,0,7562.43
4,0,2,4,2,0,5338.19
4,0,2,4,9,0,5560.61
4,0,2,4,3,0,8229.71
4,0,2,4,6,0,7562.43
4,0,2,4,5,0,3781.22
4,0,3,4,8,3,0,222.424
4,0,3,4,9,3,0,222.424
4,0,3,4,6,2,0,222.424
4,0,2,4,1,0,222.424
4,0,3,4,7,1,0,222.424
2,3,1,2,3,5884.59
1,7,1,1,7,5429.03
5,9,1,5,9,5008.7
7,4,1,7,4,4875.33
7,4,2,7,3,4,45.2817
6,4,1,6,4,4877.82
4,3,1,4,3,4209.34
4,3,2,4,7,3,118.157
4,3,2,4,8,3,206.775
4,3,2,4,9,3,280.623
6,3,1,6,3,4343.83
6,3,2,6,8,3,116.613
6,3,2,6,9,3,291.532
5,3,1,5,3,4225.55
5,3,2,5,8,3,385.438
5,3,2,5,7,3,42.8265
4,6,1,4,6,4641.23
8,3,1,8,3,4580.82
1,0,1,1,0,32160.5
1,0,2,1,7,0,4681.59
1,0,2,1,8,0,4274.5
1,0,2,1,2,0,3663.85
1,0,2,1,9,0,6309.97
1,0,2,1,6,0,5699.33
1,0,2,1,3,0,2849.66
1,0,2,1,5,0,4478.04
1,0,2,1,4,0,1831.93
1,0,3,1,8,2,0,203.547
1,0,3,1,7,5,0,203.547
9,1,1,9,1,4268.81
9,1,2,9,6,1,264.193
6,5,1,6,5,4495.25
4,9,1,4,9,4392.05
4,7,1,4,7,4369.4
8,9,1,8,9,4326.61
4,8,1,4,8,4324.09
3,4,1,3,4,4170.56
6,9,1,6,9,3634.45
3,6,1,3,6,3626.9
8,4,1,8,4,3231.31
8,4,2,8,3,4,30.3885
8,4,2,8,2,4,40.518
0,2,1,0,2,4141.24
0,2,2,0,9,2,2812.51
0,2,2,0,6,2,0
0,2,2,0,5,2,4027.96
0,2,2,0,7,2,0
0,2,2,0,8,2,0
0,2,2,0,4,2,0
0,2,2,0,3,2,0
0,2,2,0,1,2,0
0,2,3,0,1,8,2,0
7,1,1,7,1,2983.65
7,1,2,7,3,1,111.255
7,1,2,7,5,1,182.053
7,1,2,7,2,1,20.2281
6,8,1,6,8,3141.13
8,6,1,8,6,3093.31
8,2,1,8,2,3022.84
3,9,1,3,9,2919.64
9,4,1,9,4,2786.25
3,5,1,3,5,2766.11
5,8,1,5,8,2685.57
3,2,1,3,2,2612.58
3,8,1,3,8,2461.56
0,5,1,0,5,0
0,5,2,0,6,5,0
0,5,2,0,7,5,0
0,5,2,0,9,5,0
0,5,2,0,8,5,0
0,5,2,0,3,5,0
0,5,2,0,4,5,0
0,5,2,0,2,5,0
0,5,2,0,1,5,0
0,5,3,0,1,7,5,0
2,4,1,2,4,2358.37
9,3,1,9,3,2343.27
6,2,1,6,2,2207.35
5,2,1,5,2,2083.74
5,2,2,5,8,2,12.8626
8,5,1,8,5,2016.06
5,7,1,5,7,2011.03
9,6,1,9,6,1892.73
9,5,1,9,5,1764.37
7,3,1,7,3,1759.34
8,7,1,8,7,1756.82
0,9,1,0,9,0
0,9,2,0,8,9,0
0,9,2,0,3,9,0
0,9,2,0,7,9,0
0,9,2,0,6,9,0
0,9,2,0,5,9,0
0,9,2,0,2,9,0
0,9,2,0,4,9,0
0,9,3,0,7,8,9,0
0,9,3,0,7,3,9,0
0,9,3,0,7,2,9,0
0,9,2,0,1,9,0
3,7,1,3,7,1661.18
9,7,1,9,7,1605.8
2,6,1,2,6,1462.34
9,2,1,9,2,1243.37
7,5,1,7,5,1228.26
2,8,1,2,8,1218.2
7,8,1,7,8,1084.8
2,9,1,2,9,765.148
2,5,1,2,5,727.394
7,2,1,7,2,360.215
7,2,2,7,8,2,2.22355
5,0,1,5,0,22006.7
5,0,2,5,2,0,6509.03
5,0,2,5,7,0,5269.21
5,0,2,5,8,0,3254.51
5,0,2,5,9,0,4339.35
5,0,2,5,3,0,4494.33
5,0,2,5,6,0,2169.68
5,0,3,5,8,3,0,309.954
5,0,2,5,4,0,1084.84
5,0,3,5,8,4,0,464.93
5,0,3,5,7,4,0,309.954
5,0,3,5,2,6,0,154.977
5,0,3,5,2,4,0,154.977
2,7,1,2,7,317.134
